84 Adams St Apt 2H,Hoboken,2,2,1150,3200,Yes,2,1
1500 Hudson St Apt 2U,Hoboken,2,2,N/A,939000,Yes,1,0.97
116 Clinton St Apt 4S,Hoboken,1,1,870,2699,No,2,1.88
834 Bloomfield St Apt 2,Hoboken,1,2,N/A,849000,No,2,0.48
1010 Washington St Apt 1R,Hoboken,2,1,925,2300,No,2,0.31
1042 Bloomfield St Apt 3,Hoboken,3,2,1200,4100,No,2,0.4
638 Garden St Unit 3,Hoboken,2,1,836,2500,Yes,2,0.88
551 Observer Hwy Apt 8H,Hoboken,1,1,836,2500,Yes,2,NA
234 Garden St Unit 2,Hoboken,2,1,975,2650,Yes,2,1.47
321 Adams St Apt 7,Hoboken,2,2,1150,3400,No,2,1.75
100 Marshall St Apt 405,Hoboken,3,2,1150,4200,Yes,2,1.27
99 Park Ave Apt 5B,Hoboken,2,2,1200,4500,No,2,0.43
263 1st St Apt 5R,Hoboken,2,1,836,2400,Yes,2,NA
1500 Hudson St Apt 7D,Hoboken,1,1,1200,3000,No,2,0.97
415 Jackson St Apt 3R,Hoboken,1,1,836,2100,Yes,2,1.91
1015 Grand St Apt 1D,Hoboken,1,1,N/A,2500,No,2,0.84
1015 Washington St Apt 40,Hoboken,2,1,N/A,2850,Yes,2,0.31
535 Bloomfield St Apt 4N,Hoboken,1,1,925,2575,Yes,2,0.96
200 Jackson St Apt 7,Hoboken,1,1,836,2400,No,2,2.22
1042 Bloomfield St Apt 1,Hoboken,3,1,1600,4000,Yes,2,0.4
233 Grand St Apt 3,Hoboken,1,1,836,2050,Yes,2,1.82
236 Garden St,Hoboken,1,1,609,1900,No,2,1.47
309 Monroe St Apt 4,Hoboken,1,1,836,2000,Yes,2,NA
314 Washington St Apt 3,Hoboken,3,1,1150,3800,Yes,2,1.14
94 River St Apt 2,Hoboken,1,1,500,2000,No,2,0
1015 Grand St Apt 3C,Hoboken,1,1,836,2350,No,2,0.84
700 1st St Apt 7T,Hoboken,2,2,975,2900,Yes,2,NA
89 Grand St,Hoboken,2,2,1700,4000,Yes,1,0.92
500 Jefferson St Unit 5,Hoboken,2,2,N/A,3877,Yes,2,1.56
500 Jefferson St Unit 6,Hoboken,2,2,N/A,3877,Yes,2,1.56
415 Newark St Apt 6F,Hoboken,2,2,1200,3200,Yes,2,1.44
1405 Clinton St Apt 601,Hoboken,2,2,1200,3646,No,2,1.33
1450 Washington St Apt 501,Hoboken,1,1,800,3150,Yes,2,0.89
700 1st St Apt 14N,Hoboken,2,2,N/A,3300,Yes,2,NA
1300 Grand St Apt 517,Hoboken,2,2,1200,3600,Yes,1,1.28
1300 Grand St Apt 517,Hoboken,2,2,1200,3600,Yes,1,1.28
1125 Maxwell Ln Apt 714,Hoboken,1,1,N/A,3500,Yes,1,NA
120 Jackson St Apt 2N,Hoboken,2,1,870,2450,Yes,1,2.37
1015 Washington St Apt 57,Hoboken,2,1,870,2975,Yes,2,0.31
401 Bloomfield St Unit 1,Hoboken,3,1,1700,3875,Yes,1,1.07
609 Observer Hwy Apt 304,Hoboken,2,2,738,3375,Yes,2,NA
1200 Grand St Apt 221,Hoboken,1,1,836,2995,No,1,1.14
410 Adams St Apt 3L,Hoboken,1,1,650,1900,No,2,1.59
723 Bloomfield St,Hoboken,4,3,N/A,1899000,No,2,0.64
710 Hudson St Unit 2,Hoboken,1,1,870,2300,No,2,0.47
1500 Washington St Apt 7L,Hoboken,2,2,1600,4300,Yes,2,1.05
1325 Adams St Apt 604,Hoboken,2,2,1150,3300,Yes,2,1.36
700 Bloomfield St Unit Grd,Hoboken,2,2,1150,2900,Yes,2,0.64
109 Jackson St Apt 2D,Hoboken,2,2,1200,3200,No,2,2.37
1100 Clinton St Apt 401,Hoboken,2,2,900,2975,Yes,2,0.9
72 Park Ave Apt 4A,Hoboken,1,1,975,2950,No,2,0.81
1115 Bloomfield St Unit House,Hoboken,4,2.5,1825,6000,Yes,2,0.55
1125 Maxwell Ln Apt 714,Hoboken,1,1,1150,3500,No,1,NA
900 Monroe St Apt 302,Hoboken,2,2,1825,5065,Yes,2,NA
900 Monroe St Apt 1001,Hoboken,3,2,1600,4875,No,2,NA
900 Monroe St Apt 312,Hoboken,1,1,1400,4265,Yes,2,NA
514 Bloomfield St Apt 1,Hoboken,2,1.5,1150,3400,Yes,2,0.96
500 Jefferson St Unit 5,Hoboken,2,2,1700,4200,No,2,1.56
33 Hudson St,Jersey City,1,1,685,2255,Yes,1,NA
131 Dudley St,Jersey City,1,1,824,2540,Yes,1,NA
302 Sherman Ave,Jersey City,2,1,800,1600,No,3,1.86
340 Ogden Ave Fl 3,Jersey City,3,1,2250,3995,Yes,2,1.8
290 Sherman Ave,Jersey City,1,1,500,1300,No,3,1.86
3656 Kennedy Blvd,Jersey City,1,1,350,950,No,1,NA
272 Grove St,Jersey City,3,1,638,N/A,No,1,NA
100 Town Square Pl,Jersey City,3,1,482,1985,Yes,1,NA
5 Laidlaw Ave,Jersey City,1,1,450,1375,No,1,3.17
45 Hopkins Ave / 418 Baldwin Ave,Jersey City,1,1,360,950,No,1,3.31
392 New York Ave Unit 2,Jersey City,3,1,700,2300,No,2,1.73
416 Palisade Ave Unit B,Jersey City,2,1,650,1800,No,2,1.96
344 Paterson Plank Rd Apt 1,Jersey City,2,1,710,2300,No,2,1.67
184 Nelson Ave Unit 1,Jersey City,2,2,705,2300,Yes,2,2.68
89 Webster Ave Unit 1,Jersey City,3,2,680,2250,Yes,2,1.8
134 Lincoln St,Jersey City,2,1,450,1850,No,2,2.23
134 Lincoln St,Jersey City,2,1,455,1850,No,2,2.23
36 Fleet St Unit 2,Jersey City,2,1,445,1800,No,2,3.44
668 Palisade Ave,Jersey City,4,2,800,2500,Yes,2,1.96
57 Booraem Ave Unit 2,Jersey City,3,1,500,2000,No,2,2.74
18 Cliff St Unit 2,Jersey City,2,1,450,1850,No,2,NA
183 Terrace Ave Unit 1,Jersey City,3,1,440,1800,No,2,2.87
263 Ogden Ave Unit 2,Jersey City,2,1.5,420,1500,No,2,1.8
46 Montrose Ave Unit 1,Jersey City,2,1,435,1650,No,2,NA
295 5 Webster Ave Unit 1,Jersey City,0,1,395,1200,No,2,NA
1166 Summit Ave Apt 2R,Jersey City,2,1,398,1400,No,2,2.33
105 Waverly St Unit 2,Jersey City,1,1,380,1250,No,2,3.01
128 Leonard St Unit 1,Jersey City,2,1,450,1800,No,2,1.93
485 Palisade Ave Unit 2,Jersey City,2,1,455,1850,No,2,1.96
50 Reservoir Ave Apt 303,Jersey City,2,1,499,1900,No,2,2.84
33 Western Ave Unit 1,Jersey City,3,1,440,1800,No,2,NA
437 Central Ave,Jersey City,2,1,550,2025,Yes,2,2.24
203 Ogden Ave Apt 5,Jersey City,1,1,437,1550,No,2,1.8
419 Palisade Ave Unit 2C,Jersey City,2,1,435,1575,No,2,1.96
5 Reservoir Ave Unit 2,Jersey City,2,1,505,1900,No,2,2.84
37 Leonard St Unit 2,Jersey City,2,1,399,1500,No,2,1.93
343 Central Ave Unit 3,Jersey City,2,1,432,1700,No,2,2.24
1126 Summit Ave,Jersey City,1,1,350,1400,No,2,2.33
193 Ogden Ave Apt 3C,Jersey City,0,1,360,1300,No,2,1.8
10 Abbett St Unit 2,Jersey City,2,1,433,1800,No,2,NA
270 Columbia Ave Unit 2,Jersey City,3,1,444,1800,No,2,2.75
437 Central Ave,Jersey City,1,1,414,1650,No,2,2.24
437 Central Ave,Jersey City,0,1,410,1500,No,2,2.24
431 Palisade Ave Unit 3,Jersey City,3,2,515,1950,Yes,2,1.96
100 Paterson Plank Rd Apt 408,Jersey City,2,2,878,3400,Yes,2,1.67
402 New York Ave Unit 2,Jersey City,3,2,555,2200,Yes,2,1.73
325 Columbia Ave,Jersey City,2,1,400,1650,No,2,2.75
253 Webster Ave,Jersey City,3,2,522,2000,Yes,2,1.8
60 Paterson St Unit 1,Jersey City,3,2,799,2950,Yes,2,1.67
186 Congress St Unit 2,Jersey City,3,1,444,1675,No,2,1.64
218 Hopkins Ave Unit 2,Jersey City,2,2,545,2150,Yes,2,3.31
269 Griffith St Unit 2,Jersey City,3,2,666,2600,Yes,2,2.22
129-135 Franklin St Unit 4A,Jersey City,1,1,280,1200,No,2,2.52
76 St Pauls Ave Unit 4H,Jersey City,2,2,800,3250,Yes,2,3.38
76 St Pauls Ave Unit 1E,Jersey City,1,1,535,2200,Yes,2,3.38
76 St Pauls Ave Unit 1H,Jersey City,2,1,550,2350,Yes,2,3.38
176 Sherman Ave Apt 101,Jersey City,2,2,1555,550000,Yes,2,1.86
498 Liberty Ave Unit 2,Jersey City,3,2,560,2400,Yes,2,2.63
329 Central Ave,Jersey City,1,1,434,1800,No,2,2.24
121 Lincoln St Unit 2,Jersey City,3,2,565,2500,Yes,2,2.23
135 Beacon Ave Unit 1,Jersey City,3,2,573,2600,Yes,2,3.25
34 Prospect St Apt 6,Jersey City,2,2,612,2900,Yes,2,2.92
262 Hancock Ave Unit 1,Jersey City,3,1,467,2000,Yes,2,1.92
499 Palisade Ave,Jersey City,2,1,383,1725,No,2,1.96
129 South St,Jersey City,3,2,565,2300,Yes,2,1.81
59 Lake St,Jersey City,2,1,298,1600,No,2,NA
136 Oakland Ave Unit 3B,Jersey City,3,2,767,3147,Yes,2,NA
136 Oakland Ave Unit 3U,Jersey City,3,2,714,3124,Yes,2,NA
136 Oakland Ave Unit 6L,Jersey City,2,2,708,2704,Yes,2,NA
136 Oakland Ave Unit 3P,Jersey City,2,2,607,2381,Yes,2,NA
136 Oakland Ave Unit 3D,Jersey City,2,2,600,2340,Yes,2,NA
